State,District,Name,Party,Office Room,Phone,Committee 1,Committee 2,Committee 3,Committee 4
Alabama,1st,"Carl, Jerry",R,1330 LHOB,(202) 225-4931,Appropriations,Natural Resources,,
Alabama,2nd,"Moore, Barry",R,1504 LHOB,(202) 225-2901,Agriculture,Judiciary,,
Alabama,3rd,"Rogers, Mike",R,2469 RHOB,(202) 225-3261,Armed Services,,,
Alabama,4th,"Aderholt, Robert",R,266 CHOB,(202) 225-4876,Appropriations,,,
Alabama,5th,"Strong, Dale",R,1337 LHOB,(202) 225-4801,Armed Services,Homeland Security,"Science, Space, and Technology",
Alabama,6th,"Palmer, Gary",R,170 CHOB,(202) 225-4921,Oversight and Accountability,Energy and Commerce,,
Alabama,7th,"Sewell, Terri",D,1035 LHOB,(202) 225-2665,Armed Services,House Administration,Joint Committee of Congress on the Library,Ways and Means
Alaska,At Large,"Peltola, Mary",D,153 CHOB,(202) 225-5765,Natural Resources,Transportation and Infrastructure,,
American Samoa,Delegate,"Radewagen, Aumua Amata",R,2001 RHOB,(202) 225-8577,Foreign Affairs,Natural Resources,Veterans' Affairs,
Arizona,1st,"Schweikert, David",R,460 CHOB,(202) 225-2190,Ways and Means,,,
Arizona,2nd,"Crane, Elijah",R,1229 LHOB,(202) 225-3361,Homeland Security,Small Business,Veterans' Affairs,
Arizona,3rd,"Gallego, Ruben",D,1114 LHOB,(202) 225-4065,Armed Services,Natural Resources,,
Arizona,4th,"Stanton, Greg",D,207 CHOB,(202) 225-9888,Foreign Affairs,Transportation and Infrastructure,,
Arizona,5th,"Biggs, Andy",R,252 CHOB,(202) 225-2635,Oversight and Accountability,Judiciary,,
Arizona,6th,"Ciscomani, Juan",R,1429 LHOB,(202) 225-2542,Appropriations,Veterans' Affairs,,
Arizona,7th,"Grijalva, Raul",D,1203 LHOB,(202) 225-2435,Education and the Workforce,Natural Resources,,
Arizona,8th,"Lesko, Debbie",R,1214 LHOB,(202) 225-4576,Energy and Commerce,Select Subcommittee on the Coronavirus Pandemic,,
Arizona,9th,"Gosar, Paul",R,2057 RHOB,(202) 225-2315,Oversight and Accountability,Natural Resources,,
Arkansas,1st,"Crawford, Eric",R,2422 RHOB,(202) 225-4076,Agriculture,Intelligence,Transportation and Infrastructure,"Science, Space, and Technology"
Arkansas,2nd,"Hill, J.",R,1533 LHOB,(202) 225-2506,Financial Services,Foreign Affairs,Intelligence,
Arkansas,3rd,"Womack, Steve",R,2412 RHOB,(202) 225-4301,Appropriations,,,
Arkansas,4th,"Westerman, Bruce",R,202 CHOB,(202) 225-3772,Natural Resources,Transportation and Infrastructure,,
California,1st,"LaMalfa, Doug",R,408 CHOB,(202) 225-3076,Agriculture,Natural Resources,Transportation and Infrastructure,
California,2nd,"Huffman, Jared",D,2445 RHOB,(202) 225-5161,Natural Resources,Transportation and Infrastructure,,
California,3rd,"Kiley, Kevin",R,1032 LHOB,(202) 225-2523,Education and the Workforce,Judiciary,,
California,4th,"Thompson, Mike",D,268 CHOB,(202) 225-3311,Ways and Means,,,
California,5th,"McClintock, Tom",R,2256 RHOB,(202) 225-2511,Budget,Natural Resources,Judiciary,
California,6th,"Bera, Ami",D,172 CHOB,(202) 225-5716,Foreign Affairs,Intelligence,Select Subcommittee on the Coronavirus Pandemic,
California,7th,"Matsui, Doris",D,2311 RHOB,(202) 225-7163,Energy and Commerce,,,
California,8th,"Garamendi, John",D,2004 RHOB,(202) 225-1880,Armed Services,Select Subcommittee on the Weaponization of the Fed Govt,Transportation and Infrastructure,
California,9th,"Harder, Josh",D,209 CHOB,(202) 225-4540,Appropriations,,,
California,10th,"DeSaulnier, Mark",D,503 CHOB,(202) 225-2095,Education and the Workforce,Transportation and Infrastructure,Ethics,
California,11th,"Pelosi, Nancy",D,1236 LHOB,(202) 225-4965,,,,
California,12th,"Lee, Barbara",D,2470 RHOB,(202) 225-2661,Appropriations,Budget,,
California,13th,"Duarte, John",R,1535 LHOB,(202) 225-1947,Agriculture,Natural Resources,Transportation and Infrastructure,
California,14th,"Swalwell, Eric",D,174 CHOB,(202) 225-5065,Homeland Security,Judiciary,,
California,15th,"Mullin, Kevin",D,1404 LHOB,(202) 225-3531,Natural Resources,"Science, Space, and Technology",,
California,16th,"Eshoo, Anna",D,272 CHOB,(202) 225-8104,Energy and Commerce,,,
California,17th,"Khanna, Ro",D,306 CHOB,(202) 225-2631,Armed Services,Oversight and Accountability,Select Comm on the Strategic Competition US and China,
California,18th,"Lofgren, Zoe",D,1401 LHOB,(202) 225-3072,Judiciary,"Science, Space, and Technology",,
California,19th,"Panetta, Jimmy",D,304 CHOB,(202) 225-2861,Armed Services,Budget,Ways and Means,
California,20th,"McCarthy, Kevin- Vacancy",R,2468 RHOB,(202) 225-2915,,,,
California,21st,"Costa, Jim",D,2081 RHOB,(202) 225-3341,Agriculture,Foreign Affairs,,
California,22nd,"Valadao, David",R,2465 RHOB,(202) 225-4695,Appropriations,Budget,,
California,23rd,"Obernolte, Jay",R,1029 LHOB,(202) 225-5861,Energy and Commerce,"Science, Space, and Technology",,
California,24th,"Carbajal, Salud",D,2331 RHOB,(202) 225-3601,Agriculture,Armed Services,Transportation and Infrastructure,
California,25th,"Ruiz, Raul",D,2342 RHOB,(202) 225-5330,Energy and Commerce,Select Subcommittee on the Coronavirus Pandemic,,
California,26th,"Brownley, Julia",D,2262 RHOB,(202) 225-5811,Transportation and Infrastructure,Veterans' Affairs,,
California,27th,"Garcia, Mike",R,144 CHOB,(202) 225-1956,Appropriations,Intelligence,"Science, Space, and Technology",
California,28th,"Chu, Judy",D,2423 RHOB,(202) 225-5464,Small Business,Ways and Means,,
California,29th,"Cardenas, Tony",D,2181 RHOB,(202) 225-6131,Energy and Commerce,,,
California,30th,"Schiff, Adam",D,2309 RHOB,(202) 225-4176,Judiciary,,,
California,31st,"Napolitano, Grace",D,1610 LHOB,(202) 225-5256,Natural Resources,Transportation and Infrastructure,,
California,32nd,"Sherman, Brad",D,2365 RHOB,(202) 225-5911,Financial Services,Foreign Affairs,,
California,33rd,"Aguilar, Pete",D,108 CHOB,(202) 225-3201,Appropriations,,,
California,34th,"Gomez, Jimmy",D,506 CHOB,(202) 225-6235,Intelligence,Ways and Means,,
California,35th,"Torres, Norma",D,2227 RHOB,(202) 225-6161,Appropriations,House Administration,,
California,36th,"Lieu, Ted",D,2454 RHOB,(202) 225-3976,Foreign Affairs,Judiciary,,
California,37th,"Kamlager-Dove, Sydney",D,1419 LHOB,(202) 225-7084,Foreign Affairs,Natural Resources,,
California,38th,"Sanchez, Linda",D,2428 RHOB,(202) 225-6676,Select Subcommittee on the Weaponization of the Fed Govt,Ways and Means,,
California,39th,"Takano, Mark",D,2078 RHOB,(202) 225-2305,Education and the Workforce,Veterans' Affairs,,
California,40th,"Kim, Young",R,1306 LHOB,(202) 225-4111,Financial Services,Foreign Affairs,,
California,41st,"Calvert, Ken",R,2205 RHOB,(202) 225-1986,Appropriations,,,
California,42nd,"Garcia, Robert",D,1305 LHOB,(202) 225-7924,Oversight and Accountability,Homeland Security,Select Subcommittee on the Coronavirus Pandemic,
California,43rd,"Waters, Maxine",D,2221 RHOB,(202) 225-2201,Financial Services,,,
California,44th,"Barragan, Nanette",D,2312 RHOB,(202) 225-8220,Energy and Commerce,,,
California,45th,"Steel, Michelle",R,1127 LHOB,(202) 225-2415,Education and the Workforce,Ways and Means,Select Comm on the Strategic Competition US and China,
California,46th,"Correa, J.",D,2301 RHOB,(202) 225-2965,Homeland Security,Judiciary,,
California,47th,"Porter, Katie",D,1233 LHOB,(202) 225-5611,Oversight and Accountability,Natural Resources,,
California,48th,"Issa, Darrell",R,2108 RHOB,(202) 225-5672,Foreign Affairs,Select Subcommittee on the Weaponization of the Fed Govt,Judiciary,"Science, Space, and Technology"
California,49th,"Levin, Mike",D,2352 RHOB,(202) 225-3906,Natural Resources,Veterans' Affairs,,
California,50th,"Peters, Scott",D,1201 LHOB,(202) 225-0508,Budget,Energy and Commerce,,
California,51st,"Jacobs, Sara",D,1314 LHOB,(202) 225-2040,Armed Services,Foreign Affairs,,
California,52nd,"Vargas, Juan",D,2334 RHOB,(202) 225-8045,Financial Services,,,
Colorado,1st,"DeGette, Diana",D,2111 RHOB,(202) 225-4431,Energy and Commerce,,,
Colorado,2nd,"Neguse, Joe",D,2400 RHOB,(202) 225-2161,Natural Resources,Judiciary,Rules,
Colorado,3rd,"Boebert, Lauren",R,1713 LHOB,(202) 225-4761,Oversight and Accountability,Natural Resources,,
Colorado,4th,"Buck, Ken- Vacancy",R,2455 RHOB,(202) 225-4676,,,,
Colorado,5th,"Lamborn, Doug",R,2371 RHOB,(202) 225-4422,Armed Services,Natural Resources,,
Colorado,6th,"Crow, Jason",D,1323 LHOB,(202) 225-7882,Foreign Affairs,Intelligence,,
Colorado,7th,"Pettersen, Brittany",D,1230 LHOB,(202) 225-2645,Financial Services,,,
Colorado,8th,"Caraveo, Yadira",D,1024 LHOB,(202) 225-5625,Agriculture,"Science, Space, and Technology",,
Connecticut,1st,"Larson, John",D,1501 LHOB,(202) 225-2265,Ways and Means,,,
Connecticut,2nd,"Courtney, Joe",D,2449 RHOB,(202) 225-2076,Armed Services,Education and the Workforce,,
Connecticut,3rd,"DeLauro, Rosa",D,2413 RHOB,(202) 225-3661,Appropriations,,,
Connecticut,4th,"Himes, James",D,2137 RHOB,(202) 225-5541,Financial Services,Intelligence,,
Connecticut,5th,"Hayes, Jahana",D,2458 RHOB,(202) 225-4476,Agriculture,Education and the Workforce,,
Delaware,At Large,"Blunt Rochester, Lisa",D,1724 LHOB,(202) 225-4165,Energy and Commerce,,,
District of Columbia,Delegate,"Norton, Eleanor",D,2136 RHOB,(202) 225-8050,Oversight and Accountability,Transportation and Infrastructure,,
Florida,1st,"Gaetz, Matt",R,2021 RHOB,(202) 225-4136,Armed Services,Select Subcommittee on the Weaponization of the Fed Govt,Judiciary,
Florida,2nd,"Dunn, Neal",R,466 CHOB,(202) 225-5235,Energy and Commerce,Select Comm on the Strategic Competition US and China,,
Florida,3rd,"Cammack, Kat",R,2421 RHOB,(202) 225-5744,Agriculture,Select Subcommittee on the Weaponization of the Fed Govt,Energy and Commerce,
Florida,4th,"Bean, Aaron",R,1239 LHOB,(202) 225-0123,Education and the Workforce,Transportation and Infrastructure,Small Business,
Florida,5th,"Rutherford, John",R,1711 LHOB,(202) 225-2501,Appropriations,Ethics,,
Florida,6th,"Waltz, Michael",R,244 CHOB,(202) 225-2706,Armed Services,Foreign Affairs,Oversight and Accountability,Intelligence
Florida,7th,"Mills, Cory",R,1237 LHOB,(202) 225-4035,Armed Services,Foreign Affairs,,
Florida,8th,"Posey, Bill",R,2150 RHOB,(202) 225-3671,Financial Services,"Science, Space, and Technology",,
Florida,9th,"Soto, Darren",D,2353 RHOB,(202) 225-9889,Agriculture,Energy and Commerce,,
Florida,10th,"Frost, Maxwell",D,1224 LHOB,(202) 225-2176,Oversight and Accountability,"Science, Space, and Technology",,
Florida,11th,"Webster, Daniel",R,2184 RHOB,(202) 225-1002,Natural Resources,Transportation and Infrastructure,"Science, Space, and Technology",
Florida,12th,"Bilirakis, Gus",R,2306 RHOB,(202) 225-5755,Energy and Commerce,,,
Florida,13th,"Luna, Anna Paulina",R,1017 LHOB,(202) 225-5961,Oversight and Accountability,Natural Resources,,
Florida,14th,"Castor, Kathy",D,2052 RHOB,(202) 225-3376,Energy and Commerce,Select Comm on the Strategic Competition US and China,,
Florida,15th,"Lee, Laurel",R,1118 LHOB,(202) 225-5626,House Administration,Homeland Security,Judiciary,
Florida,16th,"Buchanan, Vern",R,2110 RHOB,(202) 225-5015,Joint Committee on Taxation,Ways and Means,,
Florida,17th,"Steube, W.",R,2457 RHOB,(202) 225-5792,Select Subcommittee on the Weaponization of the Fed Govt,Ways and Means,,
Florida,18th,"Franklin, Scott",R,249 CHOB,(202) 225-1252,Appropriations,"Science, Space, and Technology",Veterans' Affairs,
Florida,19th,"Donalds, Byron",R,1719 LHOB,(202) 225-2536,Financial Services,Oversight and Accountability,,
Florida,20th,"Cherfilus-McCormick, Sheila",D,242 CHOB,(202) 225-1313,Foreign Affairs,Veterans' Affairs,,
Florida,21st,"Mast, Brian",R,2182 RHOB,(202) 225-3026,Foreign Affairs,Transportation and Infrastructure,,
Florida,22nd,"Frankel, Lois",D,2305 RHOB,(202) 225-9890,Appropriations,,,
Florida,23rd,"Moskowitz, Jared",D,1130 LHOB,(202) 225-3001,Foreign Affairs,Oversight and Accountability,,
Florida,24th,"Wilson, Frederica",D,2080 RHOB,(202) 225-4506,Education and the Workforce,Transportation and Infrastructure,,
Florida,25th,"Wasserman Schultz, Debbie",D,270 CHOB,(202) 225-7931,Appropriations,Select Subcommittee on the Weaponization of the Fed Govt,,
Florida,26th,"Diaz-Balart, Mario",R,374 CHOB,(202) 225-4211,Appropriations,,,
Florida,27th,"Salazar, Maria",R,2162 RHOB,(202) 225-3931,Foreign Affairs,Small Business,,
Florida,28th,"Gimenez, Carlos",R,448 CHOB,(202) 225-2778,Armed Services,Homeland Security,Select Comm on the Strategic Competition US and China,
Georgia,1st,"Carter, Earl",R,2432 RHOB,(202) 225-5831,Budget,Energy and Commerce,,
Georgia,2nd,"Bishop, Sanford",D,2407 RHOB,(202) 225-3631,Agriculture,Appropriations,,
Georgia,3rd,"Ferguson, A.",R,2239 RHOB,(202) 225-5901,Budget,Ways and Means,,
Georgia,4th,"Johnson, Henry",D,2240 RHOB,(202) 225-1605,Judiciary,Transportation and Infrastructure,,
Georgia,5th,"Williams, Nikema",D,1406 LHOB,(202) 225-3801,Financial Services,,,
Georgia,6th,"McCormick, Richard",R,1213 LHOB,(202) 225-4272,Armed Services,Foreign Affairs,"Science, Space, and Technology",Select Subcommittee on the Coronavirus Pandemic
Georgia,7th,"McBath, Lucy",D,2246 RHOB,(202) 225-4501,Education and the Workforce,Judiciary,,
Georgia,8th,"Scott, Austin",R,2185 RHOB,(202) 225-6531,Agriculture,Armed Services,Intelligence,
Georgia,9th,"Clyde, Andrew",R,445 CHOB,(202) 225-9893,Appropriations,,,
Georgia,10th,"Collins, Mike",R,1223 LHOB,(202) 225-4101,Natural Resources,Transportation and Infrastructure,"Science, Space, and Technology",
Georgia,11th,"Loudermilk, Barry",R,2133 RHOB,(202) 225-2931,Financial Services,House Administration,,
Georgia,12th,"Allen, Rick",R,462 CHOB,(202) 225-2823,Education and the Workforce,Energy and Commerce,,
Georgia,13th,"Scott, David",D,468 CHOB,(202) 225-2939,Agriculture,Financial Services,,
Georgia,14th,"Greene, Marjorie",R,403 CHOB,(202) 225-5211,Oversight and Accountability,Homeland Security,Select Subcommittee on the Coronavirus Pandemic,
Guam,Delegate,"Moylan, James",R,1628 LHOB,(202) 225-1188,Armed Services,Natural Resources,,
Hawaii,1st,"Case, Ed",D,2210 RHOB,(202) 225-2726,Appropriations,Natural Resources,,
Hawaii,2nd,"Tokuda, Jill",D,1005 LHOB,(202) 225-4906,Agriculture,Armed Services,Select Subcommittee on the Coronavirus Pandemic,
Idaho,1st,"Fulcher, Russ",R,1514 LHOB,(202) 225-6611,Energy and Commerce,Natural Resources,,
Idaho,2nd,"Simpson, Michael",R,2084 RHOB,(202) 225-5531,Appropriations,,,
Illinois,1st,"Jackson, Jonathan",D,1641 LHOB,(202) 225-4372,Agriculture,Foreign Affairs,,
Illinois,2nd,"Kelly, Robin",D,2329 RHOB,(202) 225-0773,Energy and Commerce,,,
Illinois,3rd,"Ramirez, Delia",D,1523 LHOB,(202) 225-5701,Homeland Security,Veterans' Affairs,,
Illinois,4th,"Garcia, Jesus",D,1519 LHOB,(202) 225-8203,Transportation and Infrastructure,,,
Illinois,5th,"Quigley, Mike",D,2083 RHOB,(202) 225-4061,Appropriations,,,
Illinois,6th,"Casten, Sean",D,2440 RHOB,(202) 225-4561,Financial Services,"Science, Space, and Technology",,
Illinois,7th,"Davis, Danny",D,2159 RHOB,(202) 225-5006,Ways and Means,,,
Illinois,8th,"Krishnamoorthi, Raja",D,2367 RHOB,(202) 225-3711,Oversight and Accountability,Intelligence,Select Comm on the Strategic Competition US and China,
Illinois,9th,"Schakowsky, Janice",D,2408 RHOB,(202) 225-2111,Budget,Energy and Commerce,,
Illinois,10th,"Schneider, Bradley",D,300 CHOB,(202) 225-4835,Foreign Affairs,Ways and Means,,
Illinois,11th,"Foster, Bill",D,2366 RHOB,(202) 225-3515,Financial Services,,,
Illinois,12th,"Bost, Mike",R,352 CHOB,(202) 225-5661,Agriculture,Transportation and Infrastructure,Veterans' Affairs,
Illinois,13th,"Budzinski, Nikki",D,1009 LHOB,(202) 225-2371,Agriculture,Veterans' Affairs,,
Illinois,14th,"Underwood, Lauren",D,1410 LHOB,(202) 225-2976,Appropriations,,,
Illinois,15th,"Miller, Mary",R,1740 LHOB,(202) 225-5271,Agriculture,Education and the Workforce,,
Illinois,16th,"LaHood, Darin",R,1424 LHOB,(202) 225-6201,Intelligence,Ways and Means,Select Comm on the Strategic Competition US and China,
Illinois,17th,"Sorensen, Eric",D,1205 LHOB,(202) 225-5905,Agriculture,"Science, Space, and Technology",,
Indiana,1st,"Mrvan, Frank",D,1607 LHOB,(202) 225-2461,Education and the Workforce,Veterans' Affairs,,
Indiana,2nd,"Yakym, Rudy",R,349 CHOB,(202) 225-3915,Budget,Transportation and Infrastructure,,
Indiana,3rd,"Banks, Jim",R,2418 RHOB,(202) 225-4436,Armed Services,Education and the Workforce,Select Comm on the Strategic Competition US and China,
Indiana,4th,"Baird, James",R,2303 RHOB,(202) 225-5037,Agriculture,Foreign Affairs,"Science, Space, and Technology",
Indiana,5th,"Spartz, Victoria",R,1609 LHOB,(202) 225-2276,Judiciary,,,
Indiana,6th,"Pence, Greg",R,404 CHOB,(202) 225-3021,Energy and Commerce,,,
Indiana,7th,"Carson, Andre",D,2135 RHOB,(202) 225-4011,Intelligence,Transportation and Infrastructure,Select Comm on the Strategic Competition US and China,
Indiana,8th,"Bucshon, Larry",R,2313 RHOB,(202) 225-4636,Energy and Commerce,,,
Indiana,9th,"Houchin, Erin",R,1632 LHOB,(202) 225-5315,Financial Services,Education and the Workforce,Rules,
Iowa,1st,"Miller-Meeks, Mariannette",R,1034 LHOB,(202) 225-6576,Energy and Commerce,Select Subcommittee on the Coronavirus Pandemic,Veterans' Affairs,
Iowa,2nd,"Hinson, Ashley",R,1717 LHOB,(202) 225-2911,Appropriations,Select Comm on the Strategic Competition US and China,,
Iowa,3rd,"Nunn, Zachary",R,1232 LHOB,(202) 225-5476,Agriculture,Financial Services,,
Iowa,4th,"Feenstra, Randy",R,1440 LHOB,(202) 225-4426,Agriculture,Ways and Means,,
Kansas,1st,"Mann, Tracey",R,344 CHOB,(202) 225-2715,Agriculture,Transportation and Infrastructure,Small Business,
Kansas,2nd,"LaTurner, Jake",R,2441 RHOB,(202) 225-6601,Appropriations,Oversight and Accountability,,
Kansas,3rd,"Davids, Sharice",D,2435 RHOB,(202) 225-2865,Agriculture,Transportation and Infrastructure,Small Business,
Kansas,4th,"Estes, Ron",R,2234 RHOB,(202) 225-6216,Budget,Education and the Workforce,Ways and Means,
Kentucky,1st,"Comer, James",R,2410 RHOB,(202) 225-3115,Education and the Workforce,Oversight and Accountability,,
Kentucky,2nd,"Guthrie, Brett",R,2434 RHOB,(202) 225-3501,Energy and Commerce,,,
Kentucky,3rd,"McGarvey, Morgan",D,1527 LHOB,(202) 225-5401,Small Business,Veterans' Affairs,,
Kentucky,4th,"Massie, Thomas",R,2453 RHOB,(202) 225-3465,Select Subcommittee on the Weaponization of the Fed Govt,Judiciary,Transportation and Infrastructure,Rules
Kentucky,5th,"Rogers, Harold",R,2406 RHOB,(202) 225-4601,Appropriations,,,
Kentucky,6th,"Barr, Andy",R,2430 RHOB,(202) 225-4706,Financial Services,Foreign Affairs,Select Comm on the Strategic Competition US and China,
Louisiana,1st,"Scalise, Steve",R,2049 RHOB,(202) 225-3015,,,,
Louisiana,2nd,"Carter, Troy",D,442 CHOB,(202) 225-6636,Homeland Security,Transportation and Infrastructure,,
Louisiana,3rd,"Higgins, Clay",R,572 CHOB,(202) 225-2031,Oversight and Accountability,Homeland Security,,
Louisiana,4th,"Johnson, Mike",R,568 CHOB,(202) 225-2777,,,,
Louisiana,5th,"Letlow, Julia",R,142 CHOB,(202) 225-8490,Appropriations,Education and the Workforce,,
Louisiana,6th,"Graves, Garret",R,2402 RHOB,(202) 225-3901,Natural Resources,Transportation and Infrastructure,,
Maine,1st,"Pingree, Chellie",D,2354 RHOB,(202) 225-6116,Agriculture,Appropriations,,
Maine,2nd,"Golden, Jared",D,1710 LHOB,(202) 225-6306,Armed Services,Small Business,,
Maryland,1st,"Harris, Andy",R,1536 LHOB,(202) 225-5311,Appropriations,,,
Maryland,2nd,"Ruppersberger, C.",D,2206 RHOB,(202) 225-3061,Appropriations,,,
Maryland,3rd,"Sarbanes, John",D,2370 RHOB,(202) 225-4016,Energy and Commerce,,,
Maryland,4th,"Ivey, Glenn",D,1529 LHOB,(202) 225-8699,Homeland Security,Judiciary,Ethics,
Maryland,5th,"Hoyer, Steny",D,1705 LHOB,(202) 225-4131,Appropriations,,,
Maryland,6th,"Trone, David",D,2404 RHOB,(202) 225-2721,Appropriations,Budget,,
Maryland,7th,"Mfume, Kweisi",D,2263 RHOB,(202) 225-4741,Oversight and Accountability,Small Business,Select Subcommittee on the Coronavirus Pandemic,
Maryland,8th,"Raskin, Jamie",D,2242 RHOB,(202) 225-5341,Oversight and Accountability,,,
Massachusetts,1st,"Neal, Richard",D,372 CHOB,(202) 225-5601,Joint Committee on Taxation,Ways and Means,,
Massachusetts,2nd,"McGovern, James",D,370 CHOB,(202) 225-6101,Agriculture,Rules,,
Massachusetts,3rd,"Trahan, Lori",D,2439 RHOB,(202) 225-3411,Energy and Commerce,,,
Massachusetts,4th,"Auchincloss, Jake",D,1524 LHOB,(202) 225-5931,Transportation and Infrastructure,Select Comm on the Strategic Competition US and China,,
Massachusetts,5th,"Clark, Katherine",D,2368 RHOB,(202) 225-2836,,,,
Massachusetts,6th,"Moulton, Seth",D,1126 LHOB,(202) 225-8020,Armed Services,Transportation and Infrastructure,Select Comm on the Strategic Competition US and China,
Massachusetts,7th,"Pressley, Ayanna",D,402 CHOB,(202) 225-5111,Financial Services,Oversight and Accountability,,
Massachusetts,8th,"Lynch, Stephen",D,2109 RHOB,(202) 225-8273,Financial Services,Select Subcommittee on the Weaponization of the Fed Govt,Oversight and Accountability,
Massachusetts,9th,"Keating, William",D,2351 RHOB,(202) 225-3111,Armed Services,Foreign Affairs,,
Michigan,1st,"Bergman, Jack",R,566 CHOB,(202) 225-4735,Armed Services,Budget,Veterans' Affairs,
Michigan,2nd,"Moolenaar, John",R,246 CHOB,(202) 225-3561,Appropriations,Select Comm on the Strategic Competition US and China,,
Michigan,3rd,"Scholten, Hillary",D,1317 LHOB,(202) 225-3831,Transportation and Infrastructure,Small Business,,
Michigan,4th,"Huizenga, Bill",R,2232 RHOB,(202) 225-4401,Financial Services,Foreign Affairs,,
Michigan,5th,"Walberg, Tim",R,2266 RHOB,(202) 225-6276,Education and the Workforce,Energy and Commerce,,
Michigan,6th,"Dingell, Debbie",D,102 CHOB,(202) 225-4071,Energy and Commerce,Natural Resources,Select Subcommittee on the Coronavirus Pandemic,
Michigan,7th,"Slotkin, Elissa",D,2245 RHOB,(202) 225-4872,Agriculture,Armed Services,,
Michigan,8th,"Kildee, Daniel",D,200 CHOB,(202) 225-3611,Budget,Ways and Means,,
Michigan,9th,"McClain, Lisa",R,444 CHOB,(202) 225-2106,Armed Services,Budget,Education and the Workforce,Oversight and Accountability
Michigan,10th,"James, John",R,1319 LHOB,(202) 225-4961,Education and the Workforce,Foreign Affairs,Transportation and Infrastructure,
Michigan,11th,"Stevens, Haley",D,2411 RHOB,(202) 225-8171,Education and the Workforce,"Science, Space, and Technology",Select Comm on the Strategic Competition US and China,
Michigan,12th,"Tlaib, Rashida",D,2438 RHOB,(202) 225-5126,Financial Services,Oversight and Accountability,,
Michigan,13th,"Thanedar, Shri",D,1039 LHOB,(202) 225-5802,Homeland Security,Small Business,,
Minnesota,1st,"Finstad, Brad",R,1605 LHOB,(202) 225-2472,Agriculture,Armed Services,,
Minnesota,2nd,"Craig, Angie",D,2442 RHOB,(202) 225-2271,Agriculture,Energy and Commerce,,
Minnesota,3rd,"Phillips, Dean",D,2452 RHOB,(202) 225-2871,Foreign Affairs,Small Business,,
Minnesota,4th,"McCollum, Betty",D,2426 RHOB,(202) 225-6631,Appropriations,,,
Minnesota,5th,"Omar, Ilhan",D,1730 LHOB,(202) 225-4755,Budget,Education and the Workforce,,
Minnesota,6th,"Emmer, Tom",R,464 CHOB,(202) 225-2331,Financial Services,,,
Minnesota,7th,"Fischbach, Michelle",R,1004 LHOB,(202) 225-2165,Budget,Rules,Ethics,Ways and Means
Minnesota,8th,"Stauber, Pete",R,145 CHOB,(202) 225-6211,Natural Resources,Transportation and Infrastructure,Small Business,
